2024-01-06 13:27:18,081 INFO    MainThread:1916033 [wandb_setup.py:_flush():76] Current SDK version is 0.16.1
2024-01-06 13:27:18,082 INFO    MainThread:1916033 [wandb_setup.py:_flush():76] Configure stats pid to 1916033
2024-01-06 13:27:18,082 INFO    MainThread:1916033 [wandb_setup.py:_flush():76] Loading settings from /home/zhouqianrui/.config/wandb/settings
2024-01-06 13:27:18,082 INFO    MainThread:1916033 [wandb_setup.py:_flush():76] Loading settings from /home/zhouqianrui/lihao/mc/image-generation/wandb/settings
2024-01-06 13:27:18,082 INFO    MainThread:1916033 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-01-06 13:27:18,082 INFO    MainThread:1916033 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-01-06 13:27:18,082 INFO    MainThread:1916033 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'models/WGAN.py', 'program_abspath': '/home/zhouqianrui/lihao/mc/image-generation/models/WGAN.py', 'program': 'models/WGAN.py'}
2024-01-06 13:27:18,082 INFO    MainThread:1916033 [wandb_init.py:_log_setup():524] Logging user logs to /home/zhouqianrui/lihao/mc/image-generation/wandb/run-20240106_132718-gxjx34jr/logs/debug.log
2024-01-06 13:27:18,082 INFO    MainThread:1916033 [wandb_init.py:_log_setup():525] Logging internal logs to /home/zhouqianrui/lihao/mc/image-generation/wandb/run-20240106_132718-gxjx34jr/logs/debug-internal.log
2024-01-06 13:27:18,083 INFO    MainThread:1916033 [wandb_init.py:init():564] calling init triggers
2024-01-06 13:27:18,083 INFO    MainThread:1916033 [wandb_init.py:init():572] wandb.init called with sweep_config: {}
config: {}
2024-01-06 13:27:18,083 INFO    MainThread:1916033 [wandb_init.py:init():614] starting backend
2024-01-06 13:27:18,083 INFO    MainThread:1916033 [wandb_init.py:init():618] setting up manager
2024-01-06 13:27:18,086 INFO    MainThread:1916033 [backend.py:_multiprocessing_setup():107] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-01-06 13:27:18,089 INFO    MainThread:1916033 [wandb_init.py:init():624] backend started and connected
2024-01-06 13:27:18,094 INFO    MainThread:1916033 [wandb_init.py:init():716] updated telemetry
2024-01-06 13:27:18,143 INFO    MainThread:1916033 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2024-01-06 13:27:19,135 INFO    MainThread:1916033 [wandb_run.py:_on_init():2254] communicating current version
2024-01-06 13:27:19,326 INFO    MainThread:1916033 [wandb_run.py:_on_init():2263] got version response 
2024-01-06 13:27:19,326 INFO    MainThread:1916033 [wandb_init.py:init():800] starting run threads in backend
2024-01-06 13:27:21,083 INFO    MainThread:1916033 [wandb_run.py:_console_start():2233] atexit reg
2024-01-06 13:27:21,083 INFO    MainThread:1916033 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-01-06 13:27:21,083 INFO    MainThread:1916033 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-01-06 13:27:21,084 INFO    MainThread:1916033 [wandb_run.py:_redirect():2178] Redirects installed.
2024-01-06 13:27:21,085 INFO    MainThread:1916033 [wandb_init.py:init():841] run started, returning control to user process
2024-01-06 13:27:33,593 WARNING MsgRouterThr:1916033 [router.py:message_loop():77] message_loop has been closed
